년/월/일,현재지수,대비,등락률(%),시가지수,고가지수,저가지수,거래량(천주)-외국주미포함,거래량(천주)-외국주포함,거래대금(원)-외국주미포함,거래대금(원)-외국주포함,상장시가총액(원)-외국주미포함,상장시가총액(원)-외국주포함
2017-06-30,"2,391.79",-3.87,-0.16,"2,382.15","2,391.81","2,381.40","343,051","343,530","5,096,983,271,486","5,100,038,352,486","1,548,858,698,637,710","1,549,261,008,077,590"
2017-06-29,"2,395.66",13.1,0.55,"2,396.81","2,402.80","2,393.57","445,044","445,132","5,519,332,753,767","5,519,870,970,857","1,551,893,797,025,630","1,552,287,489,954,070"
2017-06-28,"2,382.56",-9.39,-0.39,"2,382.91","2,390.89","2,380.75","361,053","361,177","6,017,293,137,430","6,018,052,880,850","1,543,286,869,456,610","1,543,678,168,909,650"
2017-06-27,"2,391.95",3.29,0.14,"2,386.76","2,397.14","2,383.47","357,934","358,034","6,472,881,878,738","6,473,501,689,058","1,550,205,533,293,900","1,550,600,183,612,500"
2017-06-26,"2,388.66",10.06,0.42,"2,381.09","2,390.70","2,377.88","325,537","325,674","5,212,903,162,053","5,213,753,592,353","1,547,989,398,268,050","1,548,384,048,586,650"
2017-06-23,"2,378.60",8.23,0.35,"2,371.54","2,380.94","2,369.17","256,067","256,259","5,862,202,456,111","5,863,390,115,241","1,541,521,978,703,920","1,541,919,022,497,920"
2017-06-22,"2,370.37",12.84,0.54,"2,364.22","2,370.39","2,354.10","299,093","299,232","6,828,153,284,533","6,829,006,992,193","1,536,261,190,024,580","1,536,651,532,087,460"
2017-06-21,"2,357.53",-11.7,-0.49,"2,358.23","2,359.97","2,346.19","360,030","360,345","6,464,120,565,359","6,466,059,804,119","1,528,085,462,039,610","1,528,474,846,712,330"
2017-06-20,"2,369.23",-1.67,-0.07,"2,382.54","2,382.54","2,365.45","360,475","360,734","7,141,919,269,357","7,143,556,168,687","1,535,841,829,025,480","1,536,241,744,989,960"
2017-06-19,"2,370.90",9.07,0.38,"2,364.02","2,377.20","2,356.84","290,383","290,945","5,418,387,215,737","5,421,942,334,517","1,536,292,830,269,070","1,536,693,703,623,710"
2017-06-16,"2,361.83",0.18,0.01,"2,364.20","2,365.37","2,355.29","328,160","329,179","5,959,219,646,920","5,965,449,677,300","1,530,275,805,940,370","1,530,672,371,039,290"
2017-06-15,"2,361.65",-10.99,-0.46,"2,373.36","2,378.04","2,350.37","334,199","334,886","5,878,877,006,074","5,882,836,429,604","1,529,955,759,567,890","1,530,333,176,863,610"
